,City Code,City,Average share of the built-up area of cities that is open space for public use for all (%) [a],Average share of urban population with convenient access to open public spaces (%) [b],Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index,Absolute value in thousands,Urban population as percentage of total population
0,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE
1,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,50330.837,29.58893
2,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2789.599,69.4836
3,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,49787.283,78.30825
4,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,41.142,87.80163
5,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,81.528,87.81252
6,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,44911.664,72.54636
7,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16.055,100
8,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,97.51,24.7871
9,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,47678.56,93.24918
10,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2759.528,65.54835
11,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,104.924,46.1523
12,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,28202.414,87.62312
13,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,9054.576,61.83148
14,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10711.138,60.77914
15,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,429.846,84.72253
16,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1574.679,90.82824
17,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,184424.144,45.63354
18,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,283.082,32.77197
19,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,9206.17,83.27537
20,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11873.46,98.41559
21,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,450.428,48.58791
22,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16393.827,54.13784
23,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,62.806,100
24,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,821.498,48.58306
25,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,13625.507,73.72129
26,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,27.904,76.50865
27,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3111.789,53.56988
28,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2972.271,76.82219
29,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,223908.968,89.27756
30,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,32.995,52.78715
31,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,473.312,81.09262
32,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6290.166,79.02942
33,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,27523.563,37.11521
34,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,15800.53,17.59775
35,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,638.84,70.85149
36,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,18084.248,29.03399
37,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,34051.103,63.24237
38,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,41008.596,82.87756
39,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,72.865,100
40,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7104.274,47.6457
41,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,22460.393,27.11687
42,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,19933.769,88.83862
43,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1415605.906,70.62589
44,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7485.887,100
45,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,763.371,100
46,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,24027.999,82.40642
47,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,54129.764,84.32281
48,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,959.412,32.52299
49,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7114.987,72.28031
50,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,127582.053,51.76184
51,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,17.253,77.83999
52,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5432.243,85.78813
53,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,34211.272,56.72972
54,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3850.14,61.45374
55,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11016.041,78.70167
56,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,197.829,89.33031
57,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,965.922,68.06725
58,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10515.199,76.07274
59,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE
60,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6104.474,89.44563
61,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1247.129,79.96937
62,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,74.988,74.15489
63,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11982.523,87.76487
64,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,19486.952,66.73212
65,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,125151.725,44.77278
66,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6554.224,79.15255
67,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1999.678,77.20733
68,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4283.355,47.78627
69,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1289.441,71.42056
70,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1305.985,26.53467
71,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,149296.378,26.85552
72,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE
73,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3.869,82.01709
74,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,54.583,44.77116
75,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,986.172,61.96492
76,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5565.475,86.59761
77,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,68147.584,83.81575
